# of vertices,# of edges,ms for layout,norm(meanPos(vs)),norm(meanVel(vs)),maxPos(vertexSample),minPos(vertexSample),f0,epsR,K,d
100,100,37,4.448398966182404,1.5206102782887663,15.76667519149942,1.8121751053658501,1,0.001,1,0.85
100,100,11,4.54406197884114,0.8808150716771405,24.79771137728966,1.7174795135302903,1,0.001,1,0.85
100,100,19,4.5038845569975114,1.4528420306070968,30.29648636155053,2.2437571840561112,1,0.001,1,0.85
100,100,14,3.9242547475639835,0.7268435697225528,32.30587529307437,2.5901004472241684,1,0.001,1,0.85
100,100,10,5.79395629680389,2.945985348056861,24.72731714079043,1.0668581672948285,1,0.001,1,0.85
100,100,7,4.8557985492290285,2.795121326386038,29.04935888886873,2.786821691674753,1,0.001,1,0.85
100,100,6,4.445119459451848,2.595110914197238,33.392962091313905,1.0118228379173095,1,0.001,1,0.85
100,100,7,3.2573062059186504,0.8199713740081793,37.752637304651934,1.9684411229490923,1,0.001,1,0.85
100,100,9,3.229219526354656,1.725893451007974,87.75482942865558,3.007189808328202,1,0.001,1,0.85
100,100,8,6.525461121241804,1.9799433434789764,97.60382416491912,3.2611802854663816,1,0.001,1,0.85
100,100,7,3.1914826188378274,1.8841394211756772,50.89798078626151,3.965144056136633,1,0.001,1,0.85
100,100,6,3.4065488447494006,2.7471283144258507,117.30592395203584,1.3066289066468544,1,0.001,1,0.85
100,100,7,3.44101854996394,1.0262979708810593,49.20431079894011,2.4713119171563127,1,0.001,1,0.85
100,100,8,3.6699092277919574,1.7257170417874377,64.10549683838299,2.285083870658073,1,0.001,1,0.85
100,100,7,2.482257135222639,1.9185138616400392,68.51706743822282,2.2236595791720575,1,0.001,1,0.85
100,100,8,3.9268231425953957,1.030058221468229,156.7212947407511,2.8597962146857188,1,0.001,1,0.85
100,100,7,4.302380420006623,1.5341576387706088,77.35033516557286,4.780884961304094,1,0.001,1,0.85
100,100,7,1.8877699594322392,2.412139688218922,176.43276679269377,4.0202288995867645,1,0.001,1,0.85
100,100,7,4.440093472527232,1.901707906529257,186.28920213375267,5.1915732280860585,1,0.001,1,0.85
100,100,8,4.700687674291355,1.6306245628288727,196.14603920755792,3.0048852707645453,1,0.001,1,0.85
100,100,12,9.358894258707519,1.1889069082279182,206.00323888298294,3.5946292151088146,1,0.001,1,0.85
100,100,7,4.455357336913947,2.3381075266942304,215.86076680839528,2.00088619128692,1,0.001,1,0.85
100,100,7,4.563209680766475,2.284113260452963,76.03745056835005,2.2019435387022606,1,0.001,1,0.85
100,100,11,8.85196180306169,1.463207641971294,108.34002940701586,2.876047475318556,1,0.001,1,0.85
100,100,7,5.802864038398143,2.5928970110365803,112.7737544400133,3.877799100996566,1,0.001,1,0.85
100,100,13,2.9359132161130166,1.872942144714473,255.29362369494027,3.219040173426205,1,0.001,1,0.85
100,100,8,6.448243806501724,2.0455657892381236,265.1524181972428,2.340960058945119,1,0.001,1,0.85
100,100,8,3.543980596709755,1.8258191086072002,92.33864164325816,2.3408728866994,1,0.001,1,0.85
100,100,8,4.981366537633447,1.1388046251466075,130.52031663901607,2.103377909871132,1,0.001,1,0.85
100,100,7,6.837367627604179,1.2840626527019934,294.7299344766061,1.5311771389209503,1,0.001,1,0.85
100,100,7,9.617515411945345,2.486205377786044,304.5894420730637,1.2121568084374792,1,0.001,1,0.85
100,100,8,5.342583606334174,2.543487133375409,314.4490995591817,2.443330488739539,1,0.001,1,0.85
100,100,7,5.439830999725638,1.6667614868105212,109.70383249453988,4.625626965079304,1,0.001,1,0.85
100,100,8,6.8600405842535155,3.107026439295476,152.7242633805579,4.504733610198079,1,0.001,1,0.85
100,100,6,6.62822418886609,2.0119026133242626,147.42569525513454,3.400261627708826,1,0.001,1,0.85
100,100,11,4.469008356280664,1.6779031789695389,151.90478913077413,4.25797164022673,1,0.001,1,0.85
100,100,11,6.1941411587923625,1.567704539716904,363.74934131528755,2.9442708277460765,1,0.001,1,0.85
